C9D7D9S7D2;HAC5S8D8C10
C2S5H7H9C6;D9H3H2S8C5
H5CQHASKC6;S3S2H3C2CA
HJH2C10HQC7;D6SKC8S10H10
H10HKC10H8HJ;C9H2S5C2H3
D10D2S4S6CJ;CKS3DAD8S9
SKHAD7CAD9;H9D2C6SQDK
S5C7H5H3HK;HJH9DKC5HA
CADAC6D2S10;C2S7S9C5CK
HKH8D2D7D10;SQH4HQS6HA
HAC4CQH9SK;D8D4CJHJH2
SKC8CKHAH2;HJS10C5S8D6
D10S6H6H2D8;D6C6HQH10S3
S2D8S10C5S3;SKD7D10SJSQ
D4S6DJD10S4;S10HKH4H2S7
D5C10H4HAH3;DJCQC3C8S3
C4C5S9H4D6;D3S8D7H9HQ
C2D5D7H8C3;C8CQD10H4S10
H8C2C5S7S6;D8SKS3CAC10
DAS5CAHACQ;C10C3SJS6C9
H7C7H10D3DA;S3SJS5D6CJ
C6C5CAS9S10;D7C8D2C3H7
H3C6HQD2CA;S5H4C7C2H7
C7H7H6DJSK;H2DQH8D9C3
S6S4C5DKS8;DJD9H10H6S3
SJD5C8S10S9;S7D4CJD7H8
D3D10DQD9D8;HAD6H9D2DK
C4H8CAH5CK;D9S9D7S8S5
CKH7HKDAC8;S4S5C3CJSQ
C5C9H9S2CK;H6S8CJD10S5
D4D6CQH4D7;H8H10DJH7H6
C5SJSQS5CJ;H8CAD9H2S10
D6C7C10C8S6;DJHAH6D8H7
C2H3H9SQDA;D8S5SKHQCK
SJS8S3DKS7;C6D10D9SKCK
S10S9SQCJDK;SKH8DQS8C9
D2CAH2C9D7;S2H5DQS7C4
S3C4D5S10CQ;D2S7H6HJC10
H8D10D2CKHA;CAHJH2H3C3
HQH8H10S2C10;CAS5S3HKCJ
S3C9H7D7D8;C10DQCAC2H10
D7SKC3H9H3;C6DQS2C8H5
C10S5CAH10SQ;HKD3C9S2HA
S9D5C8C7H5;H2D10H4D7D9
C5CADQS9CJ;H6C2DAD8H4
CQH2D6C4S7;D5HKCAS6C10
DQD8C9D7S10;H2C8DAS5D5
CJS9H2S2DA;C7H9H3H6D8
S6D2CJS4D6;S8SQH8HQS7
D6C7H6CACK;DKS7H2H9D7
S4SKC8HKS5;H7C2D6CJHJ
D9D7C8H5SQ;DJDKHJS6H10
S7S3CAD6C3;S5D10C10H3S8
C4C5S9C6H6;HAC7D8C2SJ
S2D2S9D7S6;CJS5DKC4C7
DJC10HJCJD10;C9S8C3S9S10
H8D9C8H5HK;S9S2C10D5C3
H3DJC5HQCK;H4HACAS10D5
C4HQS5C6CA;HKDASKH9C3
D3HKSQHJS2;C2D4S5H6D8
C3C9C10C7H7;H3H2S8C2S6
D4H5H3D2D6;S3DKC3SQDJ
S6H3H6H9DA;D4H7SKCAD10
D8HQSKD10D2;S6CADAD4CJ
C6S9C9HASQ;S10DAS8C10H5
H2S10SJS5DK;D9C7H9H8C9
D2HQH8C7CA;D9H5DAD10CJ
H7HAC8CJD4;S8S6HJH2D9
C10S3C7S8D5;C2DASKH2S6
C4S2HQC7C3;H10D3DJS5S6
HADKC9C2SQ;D7DQHJHQD4
D5D3DQS10SJ;D6H4S4S3C5
D2S3D4S5C4;SJDAC7DQH9
S9S7HJHADK;S6S5C10DJCQ
H6S2C4S5D4;H10D3DJH3C3
S6HQCJH7D7;C10D5DQS10SQ
C5H10D10C2S3;DQC4S6C9D2
S10H2DQD8DJ;CJC2S4H9CA
CJD5H4HKH7;D8C9HJS10C6
H2D2S6D4DK;CJS9D9D6SK
S10DQS2D6H4;S7S5H9D7S9
S4S8S6C5C9;C4D7SKCKD10
D3S3S7SJD5;HJS10DAH5C10
S3C6S10C3H9;H3D6C5D8D5
C9CKH10DQC10;S2HQH9HJCJ
S9HKC6H4CK;D9HADKC8SJ
D4S7C6HAS2;C8SJS8D10S9
CJD4S8H10H8;DASQC8S6CK
D9H8CKC7HA;H5DJD3SQS8
C7HQH10CQC10;HAS5D2D7DA
H4H5S5C9H6;H10S9HJSQC6
S10H2C3DJD5;S4C5D4HJH5
H4HJC6D9D8;CKDAS3CASK
CJD8SQS10HQ;S9D4S7SJS6
D2S2C6S10SK;DJS5C8S8C2
D8S8D7CKS5;D9SKC7D3H5
HJC6DJH10D8;C5S7C10D10H7
D4D9H10S10S6;HAC2C6HJSQ
DKD10C5D5H9;H2C3D9H8S9
C8S9CKC4D6;S4C5S3C9DA
CKH9H3C8H7;S2CAC5H2S3
D4H5HJSJC10;DJCJS9S3D9
C3CJD7C2D5;HAD8SJH10S8
D9CKH3S2C5;S5SQDAD7HJ
S2D10D5H8S10;S8HJH9C2C4
H2D9H8C6HJ;D3C8CKH4S7
H8HJH9D5SJ;D6D3C3S9S3
D3DKC9DACJ;D6D5HJD10CQ
S10H10D10CKS9;C3SJC4HJC10
S4H5H6S6C9;S8S3D4CAHA
CQCJDKS9HQ;S3D3CAHAC4
C10D9D10SQD7;CACQH6S4SJ
D10C6D2H8CA;D8SJSQC5CJ
C3C6CJH9C2;D5DACAHAS4
H6D7S2DJD2;DAH8C9SJC6
H5S3S4C8DJ;C5C2H7HKD4
SKD6DQS10H9;C10C7H4S8H2
C5HAC6D8DQ;S2H6SKS3H5
SQS10HJH5H6;C6C5D7SJCA
D5CJC10CAC9;D9C4HAC7C3
DAD4C7DQDK;CJDJD7S8D9
S10DKHQH9CA;D6SJC2D5D7
CKH3S4S3DK;C9S8C3CQS7
SJH5DAC7H7;C8CAC9SQC10
C9S9H8C3CA;D8H10SQC5H9
D5CQC5S8S6;S4D3CAH9C7
CAS5D2D6H4;H8D8DQH2D4
S7CKCQD10S2;H10H6S10S8S9
D2D8CQDJD9;H8D4CJS3H3
CJC10SQS6DQ;H5HAH7HQS10
DQHKD10H4H2;D6SJS10DJHQ
SKCAD8C2D4;DAC9D3C10CQ
D4HAC9S4H2;H10HKCAH4S8
H4DQHQSQC2;SJDKC7H6CK
S10C3H5S5C10;D10H9D2SKHQ
S10CQS7H7C5;S8DJD3C10C8
H5D7S3HJC5;D4C6HAS9CJ
CJSJC2D10D5;DAS10S6S2C4
CKH9HKDKD6;H3S4C5HQD10
D6CJD9C4HA;S4C2HKH10S6
H7H4H3C6CJ;D6HKH6D8C4
HJHQDQS3DA;C2SJHKH7C4
HQH4S6HKD4;C7H8S9C2C6
D2C3S5S8DK;S4D6H7HKH10
S7D4HAH8HQ;C4H2DQCJS5
S4DQC4HQHJ;CQDAC10H3D9
H9S8S7S2S4;HKDKS3H5C5
CQH7S9DKCK;S8DJD8H3C4
D10C8SJCAS2;D4C7D2S5D3
S2H6H2D6S5;S7HJH7C7C10
D5H5S3S8D9;S10DKH9S6CA
C4S9S7DJC7;HJS10C3H6C9
C8H7D10C3S10;D6C4H8D3H4
D4D8D6C3SJ;H3D9H5H4DK
S3HAD10H6DQ;SQHKD3H5D5
S8C8H7SQC9;C10S10S4D5D3
D9H8HJC10S3;H3D4SJH4DQ
H3H2S2S10C7;D2CQH9HKC5
H8DKD5SJHA;C3S2S10H3D3
H4SJHKC2D4;D6SQCKH10C8
D9H5H7H6D2;SQC8C5H2CK
D7C3HKS10C9;SQHAD9H7D6
HJS5C4H2S8;D10C3S4D5H4
S9H6C8C10S6;CKHKS7H4D6
D8DQH9S3S5;S4SQD3C9H5
C4CQD10H7DK;HQDAD8H4C10
C8S9HKD3SJ;H5SQC10H2CA
DKHJC10C5H2;D10S10D6C8S9
HJD10S4DKS5;C5H4D5C8CJ
D6HQH6C3S9;S5S4C5S2H7
S3H9HKH2CJ;D10H3DKC5C9
H9D2C10C9DQ;H10S10H6S7H5
HQD9C3S2S7;HAS3H10D3D10
D4SJH4DQCK;D8C6S2C10S6
DQH8H6S10C4;CQS6DJC5D8
H10H6D5D8D2;SKH2S10H3D3
D10HQS10D5S2;D8D4H3C10HK
D4HJS5H8S3;C10C2HQD6C9
SKS10H2D8H6;H3C8SQC3C10
D8DQS5H7CK;S2D4HAS9D6
S3S5H9CKH8;S6S7DQD9SJ
D5H2D10SQCQ;D6H5H9CKC6
DQD2DJS10CJ;C9D10DKC8D4
SKS9C5H2SJ;CJHAC3DAHQ
C3HJH6H4H10;H3S5S2D8D4
D2CAC9C7DA;SQH3H4HAH9
D7H9S8H3S3;S5H10D2S10C8
C6SJS8HAS6;DJC7DQD7D4
C6H9D9D6HJ;H2HQCKC5H6
SQCKHJS6H5;D6S5S10H2SK
D9SJC5H3S2;C4H5HQH6HA
H4S6C6S2H2;HADQC4CJH10
DJSQH2D2S8;S3HKD3C6CQ
DKD9C5DAC8;S6HQD6DQS10
CKD9D2CACQ;D3S3D7S5S4
H10C9C6S5D3;H2D2D8H7S9
HQHJC5H8SQ;D5C10D9H9HK
C6S9S3S7C10;D9H8H10DAD6
S6S2SKC2S7;C8S4C4CKD6
DQDKC2D4S7;H7S5HQH10D6
S9H7S6H6C5;CQC4CJH8H3
S5S9HAD5SQ;S7CQS3D2D10
D9H9S2D8HK;D10HQC6C8D2
H10S10CQCKDJ;H7HQS5HADK
D10DKH9S6H10;C3SQH6C8D8
D10H4DACQD4;C2C5D2C7C9
D3DJS2D9CQ;DQH5S3D6S10
C5C10C2DQHQ;S2C8S6HKD7
HJDKH4S9D10;CJS6C5DACK
CQS10S7SKD2;D4C4C7SQD9
SJD10C3H8H9;H6CQCAS2H3
CJDJHJD3D6;C6C4D8H9HK
S6S3CKD3D4;H9HAHJS9D5
H3HKS5D3CQ;HQS6CAC5HA
S9CQH10S8D7;H3C2D2H2S10
CQD2D5SQDA;H9HQH7D10S2
H7H9C4SJHK;SQC2S9S8HA
C7DJC3H5D3;S5HAC5S4H6
C5S6H10DASK;D10H3CJD5S8
CAHAH9D10D4;D5CKS6H7SK
HAD4SJH5H10;DKSKS3S2H6
S6D2D9SJHA;H7D5D10D7D8
CKHKHQH10C3;HJC5C6C7D6
C2DQDKS9D9;D4H6DJH3H10
C4S5H10CACQ;D4SQC5H5H4
SJD5D2H5H10;S3H6S9C10CK
H3H4S3C6D3;D4S6DQC2DK
H10D8C8CAHA;D3CQC6S8H5
C2D10D6D9S2;H10H7DAH4C7
CAH7DAH4D7;S9DKC4D4S7
DQS5S6H6D5;S4C5S7DJC7
H5S8HJS7C8;C3DKD7SQD4
DKHQSQD10CA;S5HJS2D4SJ
H6HAH8C10S5;D9DQS6D6S4
C5D2S10D4S5;H5H3S4D9HJ
CKSJSKD5S7;S6H6HACAC7
S2HJH7C10SK;DKC5H2C8DA
C10H7CAD3S2;C3S8CQSQH3
HQCKH7S6C10;H5D6DQH8C3
C4C3DQD3H8;SJD6D7C10CK
C2HAC10S4SQ;C5S7D2H7D4
H5C5CQSQD7;SJC3S10D3D9
H10DJS10C6H8;C3H9CJCQS5
H3C6HJHAS5;C7H5H6HQSK
CKD8SJS3S2;H4D4C4H9S4
D4SKC10S2H4;H8S8C8D6DK
D3DAHAH8H9;H3D10HQS6C9
C9C3S5S4D9;C8H2SJS9H5
HAD5D6H3S5;D9SKD2DKC5
S2D9H7DAH10;C6H2SKC4CK
H10DJS4D2SK;C2DKS8H9H6
S10S7DQSKC10;D6S8D2SQSJ
S3D10D5HQS2;H9D9D6C8S4
C2H8DAS8HA;D2SKH2S9S3
HKCAC2S7D9;C8C5HQHJD5
HQH8D8S8S9;S7H10H6H5DJ
C7D5S9SQH9;D4H10D6S4C5
C7D10D5CQD7;S6H2S10HJD6
S10DQH4DAC7;S3D4D5D9DJ
HJDKCJSJDJ;H10S6C6C5S3
H4DJH5SJC10;D8C7S7H10S3
C8DJCAH10HK;CJD4HAH5C4
DACQH9HKC6;C2C9S4S5C8
H3SQSJCJS8;D7D10H9D8DK
C2C9C6C10DQ;H8D7H3D3S7
SJC6H9C5DJ;DACKS6CAHA
SJH5H3C3D4;C10D3CKS6S9
D3S3D4CKC2;H4CJS4C4H9
D5H6S10D2H5;CKS5HJD6C5
HKD3SQHJD7;S3H2CQH6H3
D10DJH10HKH3;C8H9S4DQH5
DKC9S7S4C10;HAD8H3S5S6
D5H8S2CJD10;S4D7D6C7SJ
S9SKH9D8DA;SQC10H8D6HJ
S2D6S7C7H8;D9HQC6H6DQ
H7D7C5H5DJ;H2S2S7D8S8
DAS8H10H7CA;D8C9C3H2H5
C10DQDKC8H2;H3S9H9H7SQ
D3S2S5S3C3;CASKC2DQSJ
C2CKC5H8C8;SKS10C7C4D8
D4H10SKHACJ;DJSQS9D7S7
SQC7S5H8H4;C9S9CQS2DA
H10CKSJS3D10;HKCASKD7S4
D3S9DJHAS8;C10S6C8S3HK
S4DJSKCAH9;H4C9CJSJCQ
SKHACQS5DJ;D2S6SJHQDA
D6HKDQC3HJ;S6CAH5H7D3
H4D8D4HKD6;H6S5HQCKS3
D8S9S3H4CQ;SQS6C4C10H2
HAH8D4S10D7;H6C3HKD3C9
SJH4HKD5DK;CJH10DJDAD8
D9HJDKHKS6;H3H6S7SQS8
SQH10S10C6DJ;S3CQC4SJS7
D5C8SQDJS4;H7S2H8H3D2
DKH2HQD3C5;C6SQD9C2D10
DJS7S3H7H2;CKD3DAD7SQ
DJD4S10S3DQ;H6D3H8CQC5
C9S3HJCKD8;SQD2H9H8S9
D6SJH8S5D5;C4S3CAH3H2
C3H9C8CQS3;HJH8H5D6C4
H2CQS9C7D2;D9H6DKH7CK
CKD5C10SQD2;C2S10H7D7H6
HASJH7C10D3;D8CQS9C9S5
DJD10S10CJDQ;C6S7DAS2S3
D7H6CKC5SJ;D9SQD8HQS9
C5H3C8CKS3;D8SJH8C10HA
D10H7SJC10D8;H5CJH10S5C3
H4D5H6DJD10;SQD7HAC8SK
SJH6SQD5HJ;D9S10D2HKC4
DQSKD6S4H10;H9D10CJC10C7
S4DKD5CACK;DQHJCJC6S9
H6S3DJHKDQ;H7D9CQD3D5
HASQH10HQC8;D3S4D7H7C6
S9S3H9S4D5;D8SKD4H10H3
S4D9D8C8CJ;DKC7H5HKD5
SKC2HAC7D9;C3C5S10H3DA
H5C8C3C4C7;D5HJS3C10S8
H5C5HKSQD10;S10C4S9S3SJ
H4DQD2C3D3;S8S3D10CJH10
H6H2D8HAS3;D6C8S5S2C3
H4HQC6H6H3;D2C4C7S6D9
HJC2H8HAC10;H10D9C5H9SQ
D3D4H2S7C4;SKHJD5H3D8
C3S9C2C6HJ;CQD7HAH3DA
H8CQH6S3D9;S4C9HAH7DA
HQHKSKS4DK;C10H2S5H9SQ
S10CQHKD10D8;H2CJH6SKHA
DAC4D9S10H5;H10C2D7HAH8
D8D3C6CJS9;S5H3S4C9S10
S3H8H10C3C10;H9S6C2S8D8
S6H5S4C10D5;D10S10S9D3S7
C10DQH7H10D3;S4H2HQC3C5
HKDAC9H4C5;S7H3H8S9S2
C2S7C8SQS2;SKD2DJH3D10
C10C3S6S2S7;D8CKS4S3CJ
HAD8DQD5S10;D2DAH3C9S4
D9H4C10HQS5;D3H7S9C2S7
S8HJSQD2H10;DKH6H2S7C10
C9S10HQD9HA;D4H4S5DQS6
D7HKD2S5SK;DQD5S10C3S6
S9HJC2D10CJ;CQCAC3C10S8
H7S10S2C8HQ;S4CAH5D8C5
HJH10C6S10C5;H4CAD4C8SK
SJH5SKCQCA;S4D6D3H2C10
D8C7CKC6S6;H5H10C5S2D3
S9C6DASQC9;S6D7D9D10D2
D8CASQH5S9;C3D7H7C4D10
H6H5C7C3SK;CJD3C6C2SQ
S6C5D10SJDK;DAH2H10SQH3
D7SJS3D3H3;S8CJH9C8C9
S7C7DKSKDJ;H10CJDQS9S3
SKS8S9C3S6;D2C9H10CADJ
D10DJD7S9S4;CKS8S6C4HQ
HAC4S7SQC6;C7DJH3CKS6
H7S9DQSQHA;C5D3HQH4S3
D3S2H8S9S8;C2C3D6H3CA
S4C6HJH10C10;C5S10SQHAH5
CQD4D8C8H7;SKS4S9C5S3
C2C5SJH3S7;S5C3CAD8CK
D10S3DKD7H7;S10D9D8DQH4
H8S9D4D8H5;C6SQD5HJHQ
H2SQD10C8S10;S5C10H10S2D9
D10CQH2CJD7;SKS6C2S10DJ
C9S4S2C6D4;H2D5D2CJCK
SKCJD2D8S4;CQH3HJH9D4
H8DQDJS6HJ;S8H10D10D8CA
D4C6CQS8H10;D2D6C2HAHJ
DKC7H2S3S8;C2C4D10H7SJ
H8D8DJHKD2;C10CKS8H4CQ
H6CQDKDQD3;SKDAS4SJH2
H5HJC9S8S7;C2D10C4SKSQ
D2HQC2HKH6;C6D4DJH2SK
H7S10D9C9H5;C6H3HKD10SJ
H9SQD5SKS6;CJCAD3S7H3
DKH7S9S8H2;C5C6C4C10DJ
D8C10CJHQD2;C7S8S10SKH10
SQC6H7SJS7;S6S2C5H10H4
H6DKD6SJD4;H2C3S9H3D7
DJC5C7S7DA;D9H3H5D6D8
SQHQCJD4DA;C2S8C4H10H7
C6H7SQD4D10;C4S9DJD5D6
S4D3S5S2HA;S6DJD5C6S10
S10S8D8C8S2;DQSQC10DKD2
H4CADAS5DK;H7C10S4H2C8
H3DQH10DJS6;SKD4DKD8H5
D6D7H7DJC6;DKC2D8CQS2
SKC6C10D2H8;HKH6S5D3C7
C8S5S6S9C10;S2HKC3HJD6
CASQS3D7H6;HQC8S8H7H8
H4C7CJS6HJ;C6H2D8CQS10
CQCAC10S5SJ;H7S10DAD2HA
D5CAS10S2S4;C8H10C4S5H4
C4C9D5C6D3;HJCJHKSQC5
D4C10H7D7S3;DAS5DQDKD3
H8H3S7DQC8;S2CQHQDAH2
C7S9D6S2CQ;H3C5CAC9D7
C5HAHJD9S3;SJS2S5H2CK
S5CQS9S7C6;SKDAD10H3D3
S4S2C8DJC4;D8D9D2HAH5
S9H10D10H8HJ;C9SJHQHAS5
D8D6D10S2S9;S4C8H7H3H2
H10D10D3S4C3;DJD8D6SKH5
S6S7HKC7SK;S8S10C3H10HA
H4SJC5H7H8;D10D6CKS5S7
S7SJH3D7H4;C7C8H6CADK
D7S10S9H8DA;HAC6SKS7DQ
C9DJSJD6CQ;C7CKH7DAHK
DAC5D2D4S2;D9D7CQSJH5
S7H4CAHKH5;DQH2SKS4H10
DQC4H3C10CK;D7H4C8HJC3
HQD2C8S7CK;H7D6D10DKC2
H7H9C5H10D9;C4H5D4CAS4
S5H3D9H7S6;D5C2HKH10HA
H3C3D2D4S4;D8H9CAD9D5
H2SQCJHKDJ;C10DAH10H3D4
D9S10S7CKCQ;S4S6H2DAD3
C8H6H3C9S6;H2C5S5D9CA
CKDQC3C10H9;H3S5C6H8D10
C2SQCQH6D10;D2C4D6CADK
DKS10C10H5DQ;DJC6C3D4CQ
S6HAD6S2H10;D9H8H6C8C2
CQH5C5D8SK;DAH3S3S8D3
HKC10CJCQD5;H5S3C9SJD9
DAS8CKC2DK;D2HQC3CQD6
CAHJCQDKSK;S4SJC8HQH7
SKS5H5DAH4;DJS6C9S2D6
S9C3H7HQHK;D3S6S7H2D7
D6D4C4C8H10;H4CAD7C6S3
D2H8H5C4CA;D5D6D9DKC7
D5D7HQS9H8;H7S7C10H3S2
H4S5C10CJHK;C9S9SQC4H10
SQD7HQDASK;H2D9C5C7CA
C9DAHQH6CA;SQDKS10C6C7
H7H6CQS4S10;H10DJC2H4S2
C6DJHAH2D7;H10DAD6D10H8
DJCKD2C7D10;H10H6C2H7D7
HJD7C10H10SK;C9CQS9DQH3
C10DJS3D7DQ;SKHKH5S4D4
H3HJD7S7S6;S2H5S4HQH2
CQHQC7C3C10;SKH7D9H6D7
H7H3S2D4C3;C10S7H8SKDK
HKD5D2S7S6;SJS8C2CAH10
C8C9S5D6C2;HJS8H5D5SK
CKC2DAC9C8;C5CQHQS4H5
C2CJH10C6D2;S5HQH3D9SJ
C2C4HJS6C10;S2H4D6D2C7
D3DKH3H2SK;S10D7CQD8H4
C9CJH2CQD3;H7D7H8D10HJ
D10C6H8H5C2;C10S6CQD5H3
H6S5SKH2S3;D6S8D10D9D3
D4S4S10DAS6;HAC5D9D3C3
D6C8D4CJDK;S10H7HAH10HQ
H6C10DQD10DJ;SJCKS4C3S7
CKC7S9DAH6;D2HQSKSQSJ
D3HQS7DQH7;H6DAH2CQC3
SJCAS8S10D2;C5HKC2SQS4
D4H9S5D5HJ;HAD10DJH4D3
CKDAC7D10S10;C2C8HQD4SQ
D8D4DAS10D10;C9S5D9H9C5
H3D6C6D5HJ;C3DJD4S8H10
D6S6D2DAC5;C2DJD5C10S7
H6CAH3H2H8;H7D2DJSQS6
C9DKH10HQH3;D5C4CKDQS7
DQH8S5H10HJ;H3CQDAD10H2
C5D5H9C6CA;S8DQD7SKHQ
H5C9SJCKS7;C8D9H2D6DA
H2H9S2C7C9;HAHJSJC3D8
H6C5C4D7DJ;S8D3CQSJHK
S9DJD6H9C3;C5D5D7D4D3
C8D2SKC4S3;D6H10C6H2S7
DQHKH5C4D6;H2CKD4H7D10
D8CAD4H6H5;C3H3HJS8C7
S9HASKD10H8;H7HJD2D8H4
D4H5D5HKH6;H7H10H8C4DQ
H6C3S5C10SK;S4SQD9CKC4
S8S6DAC2DJ;H10HQS5C6S4
SKCKC5D8HA;C2D7S10H5C4
C5D8H4C8H2;HKD6H3H7H8
SKDJSQHQHK;S8D5H5D8D7
DKH7C3H6DQ;S8C10CJC9C7
C3D10C4SQS10;C5C6CQH4C2
S3C10H3D7SJ;S6DAHACKS7
H7H10H5D9H3;D5C10SQH6S10
HQSKC10DKH2;C5CQHJD9C9
D2CKD4SJD6;H5CJC6D3S7
D9DKH8D3D6;H4H7C8S4C6
HAD6S6SQC3;S8H4C4D3S5
S8H5D4C7D3;DAH9SKS6CQ
HQS4DKCQC10;DAC7SJDQS5
S2C3DAH7D5;H5S4D3DQH3
CJCKS3D3DJ;D9H2H8C7DK
H5S9S6C10H2;H7C4CKH3C7
D10S10DJS5D4;D6D3HQHJS8
C9S9D4C7HQ;D6C6S3H10H8
H9S3C7H2H4;S5SKS10H6C2
CAC7C3S10C5;H4HJD9C9D10
C5H10C7H4D3;CQS3DJD5HQ
H9D9D6C2HK;SQS4HJS6HA
H3S8H7SQH2;CAC3HKC10C8
H10H5HKD2C3;H6H3C4H8S3
D6DKD3CJH8;HQD10S3H6S8
C8DQS5D4C3;D7CAH5DKD3
H5D7S8C2D6;D5H6S3H7CQ
DJH5D2H8H3;H6C3H7C6D3
S5C2DQS8H5;CJS10D5HKHJ
C8S8S4D10S6;D7H8HAHJCJ
C4DKD3CAH2;CQH7H3SKH8
C6H7C4CKS7;HQS10HJS2CA
S10S4S7C2H6;H3D10C7H2CA
H10HQHKH5DA;C3S2D2S10D8
DJS4DAD4H9;HQD6C2CQS9
H6DJD5D9DK;S7C8C3S4SQ
H10HKCJHJCQ;D10DJC3S4CK
D5D6DAS3C7;H7HAH10CQD7
C5H4SQSKC2;S2S5D8D6D4
H10D2C9H2DA;S8DKDQS4D10
H2C10S10SKH6;H5D10S8CADK
C6DAC5H3D2;D9C9CQS8H5
DKC7S6D2S2;C3C4CKCAS7
SKHAD5C8C9;D3CKS10CJDK
H5D2C3C8H8;D3S10D8C10DA
